,match_url
114,/matches/2341711/mad-lions-vs-ence-blast-premier-spring-2020-europe-showdown
115,/matches/2341908/hard4u-vs-navi-junior-lootbet-season-7-closed-qualifier
116,/matches/2341876/forbidden-vs-paradox-esea-mdl-season-34-australia
117,/matches/2341560/renegades-vs-avant-dreamhack-masters-spring-2020-oceania
118,/matches/2341911/asterius-vs-neverest-liga-dell-5-may-20
119,/matches/2341702/evil-geniuses-vs-mibr-blast-premier-spring-2020-americas-showdown
120,/matches/2341907/gunrunners-vs-esuba-sazka-eleague-spring-2020
121,/matches/2341900/smash-vs-forze-home-sweet-home-cup-7
122,/matches/2341701/furia-vs-geng-blast-premier-spring-2020-americas-showdown
123,/matches/2341899/complexity-vs-gambit-youngsters-home-sweet-home-cup-7
124,/matches/2341649/fwrd-vs-apologis-kayzr-league-spring-2020
125,/matches/2341906/sinners-vs-rams-sazka-eleague-spring-2020
126,/matches/2341710/fnatic-vs-vitality-blast-premier-spring-2020-europe-showdown
127,/matches/2341898/c0ntact-vs-og-home-sweet-home-cup-7
128,/matches/2341555/vici-vs-beyond-dreamhack-masters-spring-2020-asia
129,/matches/2341896/giants-vs-navi-junior-lootbet-season-7-closed-qualifier
130,/matches/2341833/cr4zy-vs-nemiga-winners-league-season-4-europe
131,/matches/2341834/singularity-vs-bpro-winners-league-season-4-europe
132,/matches/2341709/ence-vs-mousesports-blast-premier-spring-2020-europe-showdown
133,/matches/2341897/budapest-five-vs-endpoint-home-sweet-home-cup-7
134,/matches/2341559/avant-vs-order-dreamhack-masters-spring-2020-oceania
135,/matches/2341895/hard4u-vs-ldlc-lootbet-season-7-closed-qualifier
136,/matches/2341699/mibr-vs-cloud9-blast-premier-spring-2020-americas-showdown
137,/matches/2341784/boom-vs-redemption-poa-cbcs-the-rising-2020
138,/matches/2341697/geng-vs-triumph-blast-premier-spring-2020-americas-showdown
139,/matches/2341894/havu-vs-endpoint-home-sweet-home-cup-7
140,/matches/2341832/fate-vs-espada-winners-league-season-4-europe
141,/matches/2341893/endpoint-vs-north-home-sweet-home-cup-7
142,/matches/2341541/skade-vs-nordavind-esea-mdl-season-34-europe
143,/matches/2341831/cleantmix-vs-apeks-winners-league-season-4-europe
144,/matches/2341715/vitality-vs-dignitas-blast-premier-spring-2020-europe-showdown
145,/matches/2341891/navi-junior-vs-hard-legion-sector-mostbet-season-3
146,/matches/2341830/agf-vs-pact-winners-league-season-4-europe
147,/matches/2341892/havu-vs-gambit-youngsters-home-sweet-home-cup-7
148,/matches/2341554/beyond-vs-lucid-dream-dreamhack-masters-spring-2020-asia
149,/matches/2341714/mousesports-vs-astralis-blast-premier-spring-2020-europe-showdown
150,/matches/2341842/north-vs-gambit-youngsters-home-sweet-home-cup-7
151,/matches/2341558/order-vs-chiefs-dreamhack-masters-spring-2020-oceania
152,/matches/2341841/endpoint-vs-havu-home-sweet-home-cup-7
153,/matches/2341818/warriors-international-vs-blood-sweat-and-tears-esea-mdl-season-34-north-america
154,/matches/2341365/oceanus-vs-new-england-whalers-esea-mdl-season-34-north-america
155,/matches/2341817/recon-5-vs-polar-ace-esea-mdl-season-34-north-america
156,/matches/2341815/infinity-vs-new-england-whalers-esea-mdl-season-34-north-america
157,/matches/2341692/evil-geniuses-vs-triumph-blast-premier-spring-2020-americas-showdown
158,/matches/2341691/100-thieves-vs-cloud9-blast-premier-spring-2020-americas-showdown
159,/matches/2341886/forze-vs-copenhagen-flames-home-sweet-home-cup-7
160,/matches/2341689/furia-vs-chaos-blast-premier-spring-2020-americas-showdown
161,/matches/2341879/heretics-vs-sprout-esl-european-championship-2020
162,/matches/2341706/fnatic-vs-dignitas-blast-premier-spring-2020-europe-showdown
163,/matches/2341705/astralis-vs-ence-blast-premier-spring-2020-europe-showdown
164,/matches/2341869/skade-vs-hellraisers-esea-mdl-season-34-europe
165,/matches/2341707/mousesports-vs-virtuspro-blast-premier-spring-2020-europe-showdown
166,/matches/2341885/copenhagen-flames-vs-kova-home-sweet-home-cup-7
167,/matches/2341844/skade-vs-ldlc-winners-league-season-4-europe
168,/matches/2341636/movistar-riders-vs-singularity-esea-mdl-season-34-europe
169,/matches/2341867/pro100-vs-unicorns-of-love-esea-mdl-season-34-europe
170,/matches/2341704/vitality-vs-saw-blast-premier-spring-2020-europe-showdown
171,/matches/2341553/tyloo-vs-vici-dreamhack-masters-spring-2020-asia
172,/matches/2341703/mousesports-vs-mad-lions-blast-premier-spring-2020-europe-showdown
173,/matches/2341884/forze-vs-og-home-sweet-home-cup-7
174,/matches/2341557/avant-vs-renegades-dreamhack-masters-spring-2020-oceania
175,/matches/2341840/og-vs-kova-home-sweet-home-cup-7
176,/matches/2341839/copenhagen-flames-vs-forze-home-sweet-home-cup-7
177,/matches/2341821/recon-5-vs-thunder-logic-winners-league-season-4-north-america
